AcceleratorName,Providers
A10,"azure,lambda,oci"
A100,"aws,azure,fluidstack,gcp,lambda,oci"
A100-80GB,"aws,azure,fluidstack,gcp,lambda,oci,ovhcloud,paperspace,runpod,scp"
A10G,aws
A40,"cudo,fluidstack,runpod"
A6000,lambda
Gaudi HL-205,aws
H100,"aws,azure,fluidstack,gcp,lambda,paperspace,runpod,scaleway"
H100-SXM,runpod
Inferentia,aws
K80,"aws,azure,gcp"
L4,"gcp,runpod"
L40,"fluidstack,runpod"
M60,"aws,azure"
P100,"azure,gcp,oci,scaleway"
P4,gcp
P40,azure
Qualcomm AI100,aws
RTX 3070,scaleway
RTX3080,cudo
RTX3090,runpod
RTX4000,fluidstack
RTX4000-Ada,runpod
RTX4090,runpod
RTX5000,fluidstack
RTX6000,lambda
RTX6000-Ada,runpod
RTXA4000,"cudo,fluidstack,runpod"
RTXA4500,"cudo,runpod"
RTXA5000,"cudo,fluidstack,runpod"
RTXA6000,"cudo,fluidstack,runpod"
Radeon MI25,azure
Radeon Pro V520,aws
T4,"aws,azure,gcp"
T4g,aws
Trainium,aws
V100,"aws,azure,cudo,fluidstack,gcp,ibm,lambda,oci,ovhcloud,paperspace"
V100-32GB,"aws,azure,ovhcloud,paperspace,scp"